Compiling for 128 parallel environments...
Compilation time: 1.0869s
Running benchmark (1 samples)...

Results saved to: times.json
Collecting data...
Generating '/tmp/nsys-report-7638.qdstrm'

[1/8] [0%                          ] octax_nsys.nsys-rep
[1/8] [========================100%] octax_nsys.nsys-rep

[2/8] [0%                          ] octax_nsys.sqlite
[2/8] [========================100%] octax_nsys.sqlite
[3/8] Executing 'nvtx_sum' stats report

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)     StdDev (ns)    Style                                                  Range                                                
 --------  ---------------  ---------  ---------------  ---------------  -------------  -------------  ------------  -------  ----------------------------------------------------------------------------------------------------
     14,0    4 249 172 471          2  2 124 586 235,0  2 124 586 235,0  2 106 772 828  2 142 399 643  25 191 962,0  PushPop  TSL:XlaModule:#hlo_module=jit_rollout,program_id=87#                                                
     14,0    4 248 466 863          2  2 124 233 431,0  2 124 233 431,0  2 106 726 118  2 141 740 745  24 759 080,0  PushPop  TSL:Thunk:#hlo_op=while.119#                                                                        
     14,0    4 248 116 318      2 000      2 124 058,0      2 119 860,0        424 003      2 466 403     160 685,0  PushPop  TSL:Thunk:#hlo_op=while.119_body#                                                                   
     12,0    3 685 189 879      2 000      1 842 594,0      1 838 955,0        380 000      2 091 006     139 487,0  PushPop  TSL:Thunk:#hlo_op=while.117#                                                                        
     12,0    3 671 703 524     88 000         41 723,0         46 680,0          7 765        949 929      13 791,0  PushPop  TSL:Thunk:#hlo_op=while.117_body#                                                                   
     10,0    3 072 991 251     88 000         34 920,0         39 976,0          1 593        126 646      13 401,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout))/while/body/closed_call/jit(step),hlo_op=loop_add_fu…
      2,0      706 649 933          1    706 649 933,0    706 649 933,0    706 649 933    706 649 933           0,0  PushPop  TSL:XlaCompile:#module=jit_rollout#                                                                 
      1,0      508 893 955         18     28 271 886,0     29 274 564,0        963 179     34 259 778   7 051 886,0  PushPop  TSL:XlaCompile:#module=jit_broadcast_in_dim#                                                        
      1,0      450 097 372          1    450 097 372,0    450 097 372,0    450 097 372    450 097 372           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_rollout,program_id=87#                                            
      1,0      397 333 858         17     23 372 579,0     22 751 066,0     21 633 225     27 252 567   1 808 927,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_broadcast_in_dim#                                                  
      1,0      335 228 179     90 005          3 724,0          3 672,0          2 089        937 362       3 213,0  PushPop  TSL:Thunk:#hlo_op=command_buffer#                                                                   
      0,0      225 015 527     88 000          2 557,0          2 499,0          2 250         89 167         502,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout))/while/body/closed_call/jit(step),hlo_op=loop_dynami…
      0,0      213 518 306          1    213 518 306,0    213 518 306,0    213 518 306    213 518 306           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_rollout,program_id=87#                                                
      0,0      180 040 317          1    180 040 317,0    180 040 317,0    180 040 317    180 040 317           0,0  PushPop  TSL:XlaPassPipeline:#name=fusion,module=jit_rollout,program_id=87#                                  
      0,0      165 307 019          1    165 307 019,0    165 307 019,0    165 307 019    165 307 019           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_rollout,program_id=87#                                 
      0,0      103 235 646         10     10 323 564,0        878 602,0        796 489     40 578 654  15 580 859,0  PushPop  TSL:XlaCompile:#module=jit_convert_element_type#                                                    
      0,0       84 283 770          1     84 283 770,0     84 283 770,0     84 283 770     84 283 770           0,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_rollout#                                                           
      0,0       83 970 574      2 000         41 985,0         42 050,0          1 757         57 771       3 989,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout))/while/body/closed_call/jit(step),hlo_op=loop_broadc…
      0,0       83 375 406      2 000         41 687,0         41 817,0          1 763         50 367       4 105,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout))/while/body,hlo_op=loop_dynamic_update_slice_fusion.…
      0,0       83 273 338      2 000         41 636,0         41 688,0          1 791        107 743       4 092,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_add_fusion.2#                           
      0,0       83 124 967      2 000         41 562,0         41 643,0          2 479         59 021       3 935,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.3#          
      0,0       82 862 754      2 000         41 431,0         41 478,0          2 370         55 015       3 792,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.7#          
      0,0       82 601 734      2 000         41 300,0         41 353,0          2 346         48 987       3 866,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.11#         
      0,0       70 726 891          2     35 363 445,0     35 363 445,0     34 349 919     36 376 972   1 433 342,0  PushPop  TSL:XlaCompile:#module=jit_scatter#                                                                 
      0,0       69 981 005          1     69 981 005,0     69 981 005,0     69 981 005     69 981 005           0,0  PushPop  TSL:XlaCompile:#module=jit__threefry_split#                                                         
      0,0       56 001 776          2     28 000 888,0     28 000 888,0     27 907 021     28 094 755     132 748,0  PushPop  TSL:XlaCompile:#module=jit_iota#                                                                    
      0,0       49 947 257          1     49 947 257,0     49 947 257,0     49 947 257     49 947 257           0,0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_rollout#                                                          
      0,0       48 374 924          1     48 374 924,0     48 374 924,0     48 374 924     48 374 924           0,0  PushPop  TSL:XlaCompileBackend:#module=jit__threefry_split,program_id=63#                                    
      0,0       46 923 790          2     23 461 895,0     23 461 895,0     22 999 607     23 924 183     653 774,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_scatter#                                                           
      0,0       44 869 762          2     22 434 881,0     22 434 881,0     22 292 135     22 577 627     201 873,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_convert_element_type#                                              
      0,0       44 235 517          2     22 117 758,0     22 117 758,0     22 020 710     22 214 807     137 247,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_iota#                                                              
      0,0       41 741 431          1     41 741 431,0     41 741 431,0     41 741 431     41 741 431           0,0  PushPop  TSL:XlaCompile:#module=jit_reset#                                                                   
      0,0       41 368 356          1     41 368 356,0     41 368 356,0     41 368 356     41 368 356           0,0  PushPop  TSL:XlaEmitGpuAsm:#module=jit_rollout#                                                              
      0,0       39 342 951          1     39 342 951,0     39 342 951,0     39 342 951     39 342 951           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_reset,program_id=65#                                              
      0,0       38 479 518          1     38 479 518,0     38 479 518,0     38 479 518     38 479 518           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_convert_element_type,program_id=1#                                
      0,0       34 089 171          1     34 089 171,0     34 089 171,0     34 089 171     34 089 171           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_scatter,program_id=47#                                            
      0,0       33 550 466          1     33 550 466,0     33 550 466,0     33 550 466     33 550 466           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=71#                                   
      0,0       32 805 767          1     32 805 767,0     32 805 767,0     32 805 767     32 805 767           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=11#                                   
      0,0       32 375 421          1     32 375 421,0     32 375 421,0     32 375 421     32 375 421           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=33#                                   
      0,0       32 041 182          1     32 041 182,0     32 041 182,0     32 041 182     32 041 182           0,0  PushPop  TSL:XlaCompile:#module=jit_floor_divide#                                                            
      0,0       31 899 920          1     31 899 920,0     31 899 920,0     31 899 920     31 899 920           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_scatter,program_id=41#                                            
      0,0       31 637 801          1     31 637 801,0     31 637 801,0     31 637 801     31 637 801           0,0  PushPop  TSL:XlaCompile:#module=jit_remainder#                                                               
      0,0       30 382 137          1     30 382 137,0     30 382 137,0     30 382 137     30 382 137           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_floor_divide,program_id=55#                                       
      0,0       30 077 383          1     30 077 383,0     30 077 383,0     30 077 383     30 077 383           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_remainder,program_id=57#                                          
      0,0       29 655 033          1     29 655 033,0     29 655 033,0     29 655 033     29 655 033           0,0  PushPop  TSL:XlaCompile:#module=jit__threefry_seed#                                                          
      0,0       29 181 281          1     29 181 281,0     29 181 281,0     29 181 281     29 181 281           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=85#                                   
      0,0       28 947 369          1     28 947 369,0     28 947 369,0     28 947 369     28 947 369           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=69#                                   
      0,0       28 912 683          1     28 912 683,0     28 912 683,0     28 912 683     28 912 683           0,0  PushPop  TSL:XlaCompile:#module=jit_dynamic_slice#                                                           
      0,0       28 691 592          1     28 691 592,0     28 691 592,0     28 691 592     28 691 592           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=27#                                   
      0,0       28 671 352          1     28 671 352,0     28 671 352,0     28 671 352     28 671 352           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=67#                                   
      0,0       28 625 206          1     28 625 206,0     28 625 206,0     28 625 206     28 625 206           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=79#                                   
      0,0       28 597 300          1     28 597 300,0     28 597 300,0     28 597 300     28 597 300           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=73#                                   
      0,0       28 530 448          1     28 530 448,0     28 530 448,0     28 530 448     28 530 448           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=13#                                   
      0,0       28 506 268          1     28 506 268,0     28 506 268,0     28 506 268     28 506 268           0,0  PushPop  TSL:XlaCompileBackend:#module=jit__threefry_seed,program_id=5#                                      
      0,0       28 481 108          1     28 481 108,0     28 481 108,0     28 481 108     28 481 108           0,0  PushPop  TSL:XlaCompile:#module=jit_subtract#                                                                
      0,0       28 444 240          1     28 444 240,0     28 444 240,0     28 444 240     28 444 240           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=75#                                   
      0,0       28 375 124          1     28 375 124,0     28 375 124,0     28 375 124     28 375 124           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=31#                                   
      0,0       28 222 106          1     28 222 106,0     28 222 106,0     28 222 106     28 222 106           0,0  PushPop  TSL:XlaCompile:#module=jit_multiply#                                                                
      0,0       28 183 107          1     28 183 107,0     28 183 107,0     28 183 107     28 183 107           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_dynamic_slice,program_id=49#                                      
      0,0       28 169 888          1     28 169 888,0     28 169 888,0     28 169 888     28 169 888           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=77#                                   
      0,0       28 155 336          1     28 155 336,0     28 155 336,0     28 155 336     28 155 336           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=81#                                   
      0,0       27 949 440          1     27 949 440,0     27 949 440,0     27 949 440     27 949 440           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=19#                                   
      0,0       27 744 714          1     27 744 714,0     27 744 714,0     27 744 714     27 744 714           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_subtract,program_id=59#                                           
      0,0       27 728 946          1     27 728 946,0     27 728 946,0     27 728 946     27 728 946           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_convert_element_type,program_id=53#                               
      0,0       27 680 641          1     27 680 641,0     27 680 641,0     27 680 641     27 680 641           0,0  PushPop  TSL:XlaCreateGpuExecutable:#module=jit_rollout#                                                     
      0,0       27 530 138          1     27 530 138,0     27 530 138,0     27 530 138     27 530 138           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=35#                                   
      0,0       27 469 447          1     27 469 447,0     27 469 447,0     27 469 447     27 469 447           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_convert_element_type,program_id=23#                               
      0,0       27 451 362          1     27 451 362,0     27 451 362,0     27 451 362     27 451 362           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_iota,program_id=7#                                                
      0,0       27 257 291          1     27 257 291,0     27 257 291,0     27 257 291     27 257 291           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_iota,program_id=9#                                                
      0,0       27 222 705          1     27 222 705,0     27 222 705,0     27 222 705     27 222 705           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_multiply,program_id=61#                                           
      0,0       27 123 480          1     27 123 480,0     27 123 480,0     27 123 480     27 123 480           0,0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=83#                                   
      0,0       26 730 912          1     26 730 912,0     26 730 912,0     26 730 912     26 730 912           0,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_reset#                                                             
      0,0       23 611 929          1     23 611 929,0     23 611 929,0     23 611 929     23 611 929           0,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_remainder#                                                         
      0,0       23 438 095          1     23 438 095,0     23 438 095,0     23 438 095     23 438 095           0,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_floor_divide#                                                      
      0,0       23 187 963          1     23 187 963,0     23 187 963,0     23 187 963     23 187 963           0,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit__threefry_split#                                                   
      0,0       22 559 497          1     22 559 497,0     22 559 497,0     22 559 497     22 559 497           0,0  PushPop  TSL:XlaPassPipeline:#name=optimization,module=jit_rollout,program_id=87#                            
      0,0       22 542 953          1     22 542 953,0     22 542 953,0     22 542 953     22 542 953           0,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_dynamic_slice#                                                     
      0,0       22 509 747          1     22 509 747,0     22 509 747,0     22 509 747     22 509 747           0,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_subtract#                                                          
      0,0       22 261 981          1     22 261 981,0     22 261 981,0     22 261 981     22 261 981           0,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit__threefry_seed#                                                    
      0,0       21 974 146          1     21 974 146,0     21 974 146,0     21 974 146     21 974 146           0,0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_multiply#                                                          
      0,0       17 969 481         17      1 057 028,0      1 075 472,0        961 006      1 174 011      65 349,0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_broadcast_in_dim#                                                 
      0,0       17 793 347          1     17 793 347,0     17 793 347,0     17 793 347     17 793 347           0,0  PushPop  TSL:XlaPassPipeline:#name=post-scheduling-passes,module=jit_rollout,program_id=87#                  
      0,0       17 571 812          1     17 571 812,0     17 571 812,0     17 571 812     17 571 812           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit__threefry_split,program_id=63#                                        
      0,0       17 458 742          1     17 458 742,0     17 458 742,0     17 458 742     17 458 742           0,0  PushPop  TSL:XlaPass:#name=simplification,module=jit_rollout,program_id=87#                                  
      0,0       16 908 504         10      1 690 850,0      1 086 978,0      1 032 183      5 910 536   1 530 174,0  PushPop  TSL:XlaPassPipeline:#name=simplification,module=jit_rollout,program_id=87#                          
      0,0       15 983 477          1     15 983 477,0     15 983 477,0     15 983 477     15 983 477           0,0  PushPop  TSL:XlaPassPipeline:#name=fusion,module=jit__threefry_split,program_id=63#                          
      0,0       15 822 150          1     15 822 150,0     15 822 150,0     15 822 150     15 822 150           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit__threefry_split,program_id=63#                         
      0,0       14 003 475          1     14 003 475,0     14 003 475,0     14 003 475     14 003 475           0,0  PushPop  TSL:XlaPass:#name=fusion-dispatch-pipeline,module=jit_rollout,program_id=87#                        
      0,0       13 997 053          1     13 997 053,0     13 997 053,0     13 997 053     13 997 053           0,0  PushPop  TSL:XlaPassPipeline:#name=fusion-dispatch-pipeline,module=jit_rollout,program_id=87#                
      0,0       13 971 374          1     13 971 374,0     13 971 374,0     13 971 374     13 971 374           0,0  PushPop  TSL:XlaPass:#name=fusion-dynamic-memcpy-rewriter,module=jit_rollout,program_id=87#                  
      0,0       12 570 286         17        739 428,0        740 917,0        668 207        835 487      56 856,0  PushPop  TSL:XlaEmitGpuAsm:#module=jit_broadcast_in_dim#                                                     
      0,0       10 862 442          1     10 862 442,0     10 862 442,0     10 862 442     10 862 442           0,0  PushPop  TSL:XlaPassPipeline:#name=post-layout_assignment,module=jit_rollout,program_id=87#                  
      0,0       10 778 194          1     10 778 194,0     10 778 194,0     10 778 194     10 778 194           0,0  PushPop  TSL:XlaPass:#name=multi_output_fusion,module=jit_rollout,program_id=87#                             
      0,0        8 377 496          1      8 377 496,0      8 377 496,0      8 377 496      8 377 496           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_reset,program_id=65#                                                  
      0,0        8 343 502          1      8 343 502,0      8 343 502,0      8 343 502      8 343 502           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_rollout,program_id=87#           
      0,0        8 315 320         26        319 820,0        218 473,0         40 282      1 383 242     278 810,0  PushPop  TSL:XlaPass:#name=algsimp,module=jit_rollout,program_id=87#                                         
